code,code2,occupation
8620,8620,PRD-Water And Wastewater Treatment Plant And System Operators
8630,8630,PRD-Miscellaneous Plant And System Operators
8640,8640,"PRD-Chemical Processing Machine Setters, Operators, And Tenders"
8650,8650,"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers"
8710,8710,PRD-Cutting Workers
8720,8720,"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders"
8730,8730,"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders"
8740,8740,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
8750,8750,PRD-Jewelers And Precious Stone And Metal Workers
8760,8760,"PRD-Medical, Dental, And Ophthalmic Laboratory Technicians"
8800,8800,PRD-Packaging And Filling Machine Operators And Tenders
8810,8810,PRD-Painting Workers
8830,8830,PRD-Photographic Process Workers And Processing Machine Operators
8850,8850,PRD-Adhesive Bonding Machine Operators And Tenders
8910,8910,PRD-Etchers And Engravers
8920,8920,"PRD-Molders, Shapers, And Casters, Except Metal And Plastic"
8930,8930,"PRD-Paper Goods Machine Setters, Operators, And Tenders"
8940,8940,PRD-Tire Builders
8950,8950,PRD-Helpers-Production Workers
8965,8965,"PRD-Miscellaneous Production Workers, Including Semiconductor Processors"
9000,9000,TRN-Supervisors Of Transportation And Material Moving Workers
9030,9030,TRN-Aircraft Pilots And Flight Engineers
9040,9040,TRN-Air Traffic Controllers And Airfield Operations Specialists
9050,9050,TRN-Flight Attendants
9110,9110,"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians"
9120,9120,TRN-Bus Drivers
9130,9130,TRN-Driver/Sales Workers And Truck Drivers
9140,9140,TRN-Taxi Drivers And Chauffeurs
9150,9150,"TRN-Motor Vehicle Operators, All Other"
9200,9200,TRN-Locomotive Engineers And Operators
9240,9240,TRN-Railroad Conductors And Yardmasters
9260,9260,"TRN-Subway, Streetcar, And Other Rail Transportation Workers"
9300,9300,"TRN-Sailors And Marine Oilers, And Ship Engineers"
9310,9310,TRN-Ship And Boat Captains And Operators
9350,9350,TRN-Parking Lot Attendants
9360,9360,TRN-Automotive And Watercraft Service Attendants
9410,9410,TRN-Transportation Inspectors
9415,9415,"TRN-Transportation Attendants, Except Flight Attendants"
9420,9420,"TRN-Miscellaneous Transportation Workers, Including Bridge And Lock Tenders And Traffic Technicians"
9510,9510,TRN-Crane And Tower Operators
9520,9520,"TRN-Dredge, Excavating, And Loading Machine Operators"
9560,9560,"TRN-Conveyor Operators And Tenders, And Hoist And Winch Operators"
9600,9600,TRN-Industrial Truck And Tractor Operators
9610,9610,TRN-Cleaners Of Vehicles And Equipment
9620,9620,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
9630,9630,TRN-Machine Feeders And Offbearers
9640,9640,"TRN-Packers And Packagers, Hand"
9650,9650,TRN-Pumping Station Operators
9720,9720,TRN-Refuse And Recyclable Material Collectors
9750,9750,"TRN-Miscellaneous Material Moving Workers, Including Mine Shuttle Car Operators, And Tank Car, Truck, And Ship Loaders"
9800,9800,MIL-Military Officer Special And Tactical Operations Leaders
9810,9810,MIL-First-Line Enlisted Military Supervisors
9820,9820,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members
9830,9830,"MIL-Military, Rank Not Specified"
9920,9920,Unemployed And Last Worked 5 Years Ago Or Earlier Or Never Worked
